stddev_open,close_perc,history_secs,abs_slope_max,win_secs,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
300.0,0.3,2.0,0.0001,0.2,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.3,2.0,0.0001,0.5,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.3,2.0,0.0001,1.0,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.5,1.0,0.0001,0.2,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.5,1.0,0.0001,0.5,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.5,1.0,0.0001,1.0,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.5,2.0,0.0001,0.2,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.5,2.0,0.0001,0.5,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.5,2.0,0.0001,1.0,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.7,1.0,0.0001,0.2,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.7,1.0,0.0001,0.5,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.7,1.0,0.0001,1.0,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.7,2.0,0.0001,0.2,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.7,2.0,0.0001,0.5,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
300.0,0.7,2.0,0.0001,1.0,0.0667,2,28,2.9155,1.0035,5.33,0.0,30
100.0,0.3,1.0,5e-05,0.2,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.3,1.0,5e-05,0.5,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.3,1.0,5e-05,1.0,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.3,2.0,5e-05,0.2,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.3,2.0,5e-05,0.5,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.3,2.0,5e-05,1.0,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.5,1.0,5e-05,0.2,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.5,1.0,5e-05,0.5,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.5,1.0,5e-05,1.0,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.5,2.0,5e-05,0.2,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.5,2.0,5e-05,0.5,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.5,2.0,5e-05,1.0,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.7,1.0,5e-05,0.2,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.7,1.0,5e-05,0.5,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.7,1.0,5e-05,1.0,0.0333,1,29,3.0032,1.1739,23.02,0.0,30
100.0,0.7,2.0,5e-05,0.2,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.7,2.0,5e-05,0.5,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.7,2.0,5e-05,1.0,0.0333,1,29,3.0032,1.1792,23.02,0.0,30
100.0,0.3,0.5,5e-05,0.2,0.0333,1,29,3.0043,1.139,24.15,0.0,30
100.0,0.3,0.5,5e-05,0.5,0.0333,1,29,3.0043,1.139,24.15,0.0,30
